# Data Set (v1): ML-CUP17-TR
# Nov 2017
# ML-CUP17
# INFO: micheli@di.unipi.it
# (C) CIML group - Gallicchio, Micheli 2017
# 
# Format:
# Training set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,target_x,target_y
# Blind Test set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10

1,0.061016,0.594533,1.948624,-1.680048,-1.223277,-0.594630,1.173054,0.999880,-0.863105,-1.256089,18.919045,-16.593558
2,-0.305682,1.270111,1.353715,-0.859186,-1.223277,-0.594630,0.820935,0.656592,-1.281663,-1.600565,20.106895,-15.957886
3,0.061016,-0.587729,-0.371521,1.413969,0.389144,0.347948,-0.446694,-0.830991,0.691538,1.430820,5.780508,-10.812470
4,1.252786,0.538235,-0.133557,-0.732900,-0.387207,0.724979,-0.164999,0.141659,-0.205372,-1.118299,13.500449,-19.393490
5,1.344460,-0.362536,0.937279,-0.101468,-0.208049,2.233103,0.891359,0.828236,0.213186,0.604079,10.551852,-19.916062
6,-0.489031,1.101217,1.710660,-1.174902,-0.984400,-1.160176,0.961783,0.713807,-0.922899,-1.876145,20.340561,-15.825782
7,0.244365,0.932322,1.472697,-0.922329,-1.163558,-0.783145,1.525173,0.542163,-1.162075,-0.980509,17.599265,-17.291076
8,-0.030658,-0.475132,-0.133557,0.403678,0.150267,1.856072,0.187120,-0.144414,0.512156,0.672974,9.171412,-17.192543
9,1.252786,0.650831,0.639824,0.151105,-0.088611,1.479041,1.243478,-0.087200,0.691538,0.741869,11.043219,-20.445584
10,-0.672380,-1.150710,-1.085412,1.161396,1.523811,-0.406114,-1.150933,-1.059850,0.751332,0.397394,3.218284,-6.077276
11,-0.397357,0.763428,1.829642,-0.796043,-1.044120,-0.500372,1.525173,0.656592,-1.281663,-1.187194,19.077759,-16.493015
12,-0.214007,-0.869219,-0.668975,0.782537,1.284933,1.102010,-1.432628,-0.659347,1.409065,1.361925,6.593153,-12.321567
13,0.702738,0.538235,0.223388,-0.290897,0.269705,0.630721,0.116696,-0.029985,0.631744,0.466289,10.511196,-19.710575
14,-0.030658,-0.475132,-0.371521,0.656251,0.747460,0.724979,-0.798814,-0.830991,0.272980,0.948555,8.721275,-16.311878
15,-0.672380,-1.094412,-1.323375,0.151105,0.807179,-0.311856,-1.291781,-1.231494,1.708035,0.672974,2.104082,-3.935166
16,-0.030658,1.270111,1.770151,-1.238045,-1.282997,-1.254434,1.313902,0.828236,-1.341457,-0.842718,19.244927,-16.405495
17,1.619484,0.200446,0.461352,-0.417184,0.269705,0.819237,0.609663,0.484948,0.392568,0.879659,10.615208,-19.920355
18,1.527809,1.044918,0.937279,0.593108,-0.566365,1.573298,0.891359,0.484948,0.272980,0.672974,11.138826,-20.481405
19,0.061016,-1.319605,-0.668975,1.287683,0.926617,0.253690,-0.587542,-0.888206,0.811126,1.637506,7.264254,-13.563502
20,-0.030658,-1.038114,-0.966430,1.287683,1.105775,-0.123341,-0.446694,-0.773776,0.930714,1.017450,6.150102,-11.508815
21,-0.672380,-1.488499,-1.799302,0.087962,0.926617,-0.500372,-1.573476,-1.345924,1.767829,0.397394,2.410425,-4.542427
22,-0.030658,1.326409,1.175242,-0.859186,-1.402435,-0.688887,0.750511,0.828236,-1.042487,-1.600565,21.261368,-15.337438
23,-1.314102,-1.038114,-1.620829,0.214248,0.508582,-0.029083,-1.010085,-1.345924,0.571950,0.397394,1.921609,-3.630642
24,2.352881,0.481937,0.401861,-0.480327,-0.446927,0.724979,1.454750,0.027230,-0.623929,-0.704928,13.212604,-19.560675
25,-1.130753,1.551602,0.758806,-0.922329,-1.163558,-1.725722,0.609663,0.942666,-1.341457,-1.669460,23.204411,-14.308884
26,-0.672380,-1.038114,-1.263884,0.593108,1.523811,-0.594630,-1.221357,-1.288709,1.289477,0.397394,2.835463,-5.358354
27,-1.130753,-0.700325,-0.966430,1.413969,1.464091,0.347948,-1.432628,-1.002635,1.409065,0.672974,3.342884,-6.297126
28,1.069437,0.425639,0.461352,0.024819,0.508582,0.630721,0.891359,0.656592,0.870920,0.741869,11.171497,-20.468011
29,1.344460,1.044918,0.223388,0.151105,0.030828,1.950329,0.750511,0.313304,0.033804,0.052918,12.121207,-20.153545
30,1.436135,0.256744,0.937279,-0.038324,-0.446927,-0.500372,1.173054,0.427733,-0.863105,0.121813,14.831583,-18.725513
31,1.252786,0.707129,0.401861,-0.859186,0.269705,1.479041,1.032206,0.484948,0.631744,0.810764,11.252337,-20.472310
32,2.352881,0.313042,0.758806,-0.101468,-0.506646,-0.500372,1.173054,0.427733,-0.324959,-0.291557,13.416591,-19.441295
33,0.519389,-1.207009,-0.728466,0.845680,1.284933,1.573298,-0.446694,-0.544917,0.691538,1.568611,8.402530,-15.696952
34,-0.855729,-0.925518,-1.204393,0.908824,0.389144,-0.029083,-1.503052,-1.174280,1.050302,0.397394,3.364526,-6.362733
35,0.977762,0.481937,0.996769,-0.290897,-0.685804,-0.029083,1.173054,0.256089,-0.444547,-0.704928,13.644178,-19.313909
36,-0.214007,1.833093,0.758806,-0.796043,-1.342716,-1.160176,0.539240,1.285954,-1.042487,-0.980509,24.062164,-13.840004
37,-0.397357,1.551602,0.520842,-1.427475,-1.342716,-1.254434,0.116696,1.228739,-1.341457,-1.393879,23.073831,-14.380666
